"filename", "language", "JavaScript", "JSON", "CSS", "Markdown", "HTML", "XML", "JavaScript JSX", "comment", "blank", "total"
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\home\Testimonies.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 1, 7, 65
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\home\WhyGamkrib.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 3, 69
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\home\landingStyles.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 1, 13, 66
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\home\swiper.css", "CSS", 0, 0, 20, 0, 0, 0, 0, 14, 16, 50
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\navbar\Navbar.js", "JavaScript", 547, 0, 0, 0, 0, 0, 0, 8, 45, 600
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\navbar\navbar.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 1, 4, 8
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\navbar\navbarStyles.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 11, 15, 118
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\notification\NotificationComponent.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 2, 14, 123
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\productDetails\ProductDetails.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\properties\ApartmentComponent.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\properties\HomestelComponent.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 8, 61
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\properties\HostelComponent.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\properties\ListProperties.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 5, 57
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\router\IndexComponent.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 7, 97
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\script\script.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\searchAndFilterContainer\FilerProperty.js", "JavaScript", 500, 0, 0, 0, 0, 0, 0, 5, 47, 552
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\searchAndFilterContainer\SearchBar.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\components\searchAndFilterContainer\filter.css", "CSS", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\context\MockApiContext.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 6, 12, 56
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\context\mock\MockNotification.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\context\selectedPropertyContext\SelectedPropertyContextProvider.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 1, 9, 65
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\customComponetns\BigButton.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\customComponetns\Card.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 8, 68
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\customComponetns\RectangularCard.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 4, 55
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\index.css", "CSS", 0, 0, 17, 0, 0, 0, 0, 0, 11, 28
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 3, 5, 22
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\theme\colors.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\theme\fonts.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\theme\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\theme\sizes.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\theme\spacing.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\utils\data\dummy.js", "JavaScript", 5644, 0, 0, 0, 0, 0, 0, 0, 107, 5751
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\utils\data\welcome-bg.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\utils\formModules\ErrorText.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\utils\formModules\PhoneInputField.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\utils\formModules\SelectComponent.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 1, 4, 37
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\utils\formModules\phoneField.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 0, 8, 26
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\utils\formModules\selectComp.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\utils\modules\Logo.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\utils\modules\SpacerComponent.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\utils\modules\modules.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 6, 12, 83
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\src\utils\searchModel\SearchComponent.js", "JavaScript", 150, 0, 0, 0, 0, 0, 0, 4, 27, 181
"e:\codes\Professional Jobs\Gamkrib-1\gamkrib\tailwind.config.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"Total", "-", 9305, 87, 197, 38, 17, 12, 18889, 135, 683, 29363
